Id,DateStr,Expected,Result,Exception
1,1901/1/2,1901年1月3日,,
2,1905/1/30,1905年1月31日,,
3,1909/1/31,1909年2月1日,,
4,1801/2/27,1801年2月28日,,
5,2005/2/28,2005年3月1日,,
6,2009/4/29,2009年4月30日,,
7,2013/4/30,2013年5月1日,,
8,2223/12/30,2223年12月31日,,
9,2225/12/31,2226年1月1日,,
10,2012/5/3,2012年5月4日,,
11,2016/2/28,2016年2月29日,,
12,2000/2/29,2000年3月1日,,
13,2012/9/30,2012年10月1日,,
14,2016/12/30,2018年12月31日,,
15,2020/12/31,2021年1月1日,,
16,-10/5/22,Parse Error,,
17,/4/27,Parse Error,,
18,year/3/13,Parse Error,,
19,1976//5,Parse Error,,
20,1977/month/17,Parse Error,,
21,1978/0/15,Parse Error,,
22,1976/13/14,Parse Error,,
23,1999/5/,Parse Error,,
24,1999/7/-5,Parse Error,,
25,1999/6/43,Parse Error,,
26,1999/7/day,Parse Error,,
27,-352/17/3,Parse Error,,
28,1983/-3/41,Parse Error,,
29,10977/11/-31,Parse Error,,
30,/2/-1,Parse Error,,
31,1901/month/-1,Parse Error,,
32,-2/month/1,Parse Error,,
33,2017//-1,Parse Error,,
34,year//-5,Parse Error,,